outcome,date,age_group,unvaccinated_rate,vaccinated_rate,boosted_rate,crude_vaccinated_ratio,crude_boosted_ratio,age_adjusted_unvaccinated_rate,age_adjusted_vaccinated_rate,age_adjusted_boosted_rate,age_adjusted_vaccinated_ratio,age_adjusted_boosted_ratio,population_unvaccinated,population_vaccinated,population_boosted,outcome_unvaccinated,outcome_vaccinated,outcome_boosted,age_group_min,age_group_max
Deaths,2022-09-03,0-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162642,0.0,0.0,0,0.0,0.0,0,4
Hospitalizations,2021-08-07,65-79,32.1,4.1,0.0,7.8,0.0,0.0,0.0,0.0,0.0,0.0,68485,192863.0,0.0,22,8.0,0.0,65,79
Hospitalizations,2022-07-09,All,12.1,7.2,10.9,1.7,1.1,15.5,10.1,8.4,1.5,1.8,627781,862137.0,997177.0,76,62.0,109.0,999,999
Deaths,2023-03-04,80+,4.1,8.8,4.2,0.5,1.0,0.0,0.0,0.0,0.0,0.0,24686,11377.0,47125.0,1,1.0,2.0,80,200
Cases,2021-12-04,50-64,671.0,183.7,34.2,3.7,19.6,0.0,0.0,0.0,0.0,0.0,64234,270486.0,79047.0,431,497.0,27.0,50,64
Hospitalizations,2022-07-09,65-79,34.5,19.6,25.6,1.8,1.3,0.0,0.0,0.0,0.0,0.0,46385,45832.0,167927.0,16,9.0,43.0,65,79
Deaths,2023-01-07,80+,12.1,8.8,6.4,1.4,1.9,0.0,0.0,0.0,0.0,0.0,24805,11369.0,47117.0,3,1.0,3.0,80,200
Hospitalizations,2022-10-01,18-29,4.5,1.9,0.6,2.4,7.5,0.0,0.0,0.0,0.0,0.0,88079,211686.0,161454.0,4,4.0,1.0,18,29
Hospitalizations,2022-09-10,65-79,30.8,23.0,15.8,1.3,1.9,0.0,0.0,0.0,0.0,0.0,45457,43539.0,171141.0,14,10.0,27.0,65,79
Cases,2023-09-02,0-4,56.6,2.5,0.0,22.6,0.0,0.0,0.0,0.0,0.0,0.0,162642,0.0,0.0,92,4.0,0.0,0,4
Cases,2023-06-03,All,20.0,8.5,17.1,2.4,1.2,21.5,8.7,14.6,2.5,1.5,534701,860357.0,1040674.0,107,73.0,178.0,999,999
Cases,2023-04-08,All,52.2,25.5,48.3,2.0,1.1,58.3,27.5,37.6,2.1,1.5,540406,859347.0,1040563.0,282,219.0,503.0,999,999
Hospitalizations,2022-11-12,80+,83.5,61.6,51.0,1.4,1.6,0.0,0.0,0.0,0.0,0.0,25162,11369.0,47090.0,21,7.0,24.0,80,200
Deaths,2022-10-01,18-29,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88079,211686.0,161454.0,1,0.0,0.0,18,29
Hospitalizations,2021-09-11,18-29,12.4,0.3,0.0,41.3,0.0,0.0,0.0,0.0,0.0,0.0,185405,298401.0,0.0,23,1.0,0.0,18,29
Cases,2022-09-03,65-79,177.7,139.4,149.8,1.3,1.2,0.0,0.0,0.0,0.0,0.0,45582,43748.0,170866.0,81,61.0,256.0,65,79
Deaths,2023-11-04,30-49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101766,279203.0,348427.0,0,0.0,0.0,30,49
Hospitalizations,2023-07-08,All,1.3,0.8,0.8,1.6,1.6,1.2,1.1,0.5,1.0,2.4,531904,860327.0,1040745.0,7,7.0,8.0,999,999
Cases,2023-04-08,Dec-17,30.4,13.9,15.7,2.2,1.9,0.0,0.0,0.0,0.0,0.0,32887,86505.0,44571.0,10,12.0,7.0,12,17
Cases,2023-01-07,All,125.7,66.8,114.2,1.9,1.1,157.8,70.7,92.5,2.2,1.7,553739,854331.0,1040190.0,696,571.0,1188.0,999,999
Hospitalizations,2023-04-01,30-49,13.6,2.2,2.3,6.2,5.9,0.0,0.0,0.0,0.0,0.0,109912,278121.0,347279.0,15,6.0,8.0,30,49
Hospitalizations,2021-05-08,18-29,9.1,0.8,0.0,11.4,0.0,0.0,0.0,0.0,0.0,0.0,274095,132496.0,0.0,25,1.0,0.0,18,29
Cases,2023-06-10,80+,12.2,17.6,14.9,0.7,0.8,0.0,0.0,0.0,0.0,0.0,24522,11383.0,47130.0,3,2.0,7.0,80,200
Deaths,2021-12-04,80+,24.5,10.1,0.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,28623,29758.0,25961.0,7,3.0,0.0,80,200
Deaths,2022-10-08,All,0.9,0.4,0.3,2.2,3.0,1.3,0.6,0.2,2.0,6.0,588205,843467.0,1037728.0,5,3.0,3.0,999,999
Cases,2023-01-07,05-Nov,37.9,22.1,47.3,1.7,0.8,0.0,0.0,0.0,0.0,0.0,92294,81623.0,21161.0,35,18.0,10.0,5,11
Hospitalizations,2023-06-03,65-79,7.6,4.6,6.4,1.7,1.2,0.0,0.0,0.0,0.0,0.0,39483,43434.0,171732.0,3,2.0,11.0,65,79
Deaths,2021-06-05,All,2.6,0.2,0.0,13.0,0.0,3.9,0.1,0.0,37.9,0.0,1279034,1158544.0,0.0,33,2.0,0.0,999,999
Cases,2022-02-05,80+,98.6,243.6,105.7,0.4,0.9,0.0,0.0,0.0,0.0,0.0,27390,16013.0,40692.0,27,39.0,43.0,80,200
Hospitalizations,2023-10-07,30-49,1.9,2.2,0.3,0.9,6.3,0.0,0.0,0.0,0.0,0.0,104936,278564.0,347458.0,2,6.0,1.0,30,49
Hospitalizations,2021-12-11,30-49,46.4,5.7,1.6,8.1,29.0,0.0,0.0,0.0,0.0,0.0,181110,452975.0,121631.0,84,26.0,2.0,30,49
Deaths,2023-06-10,All,0.2,0.0,0.2,0.0,1.0,0.4,0.0,0.1,0.0,4.0,534086,860351.0,1040691.0,1,0.0,2.0,999,999
Hospitalizations,2022-10-01,80+,34.8,70.3,61.6,0.5,0.6,0.0,0.0,0.0,0.0,0.0,25857,11380.0,47042.0,9,8.0,29.0,80,200
Deaths,2022-08-06,Dec-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35790,89217.0,40287.0,0,0.0,0.0,12,17
Deaths,2021-07-03,65-79,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72516,187809.0,0.0,3,0.0,0.0,65,79
Cases,2023-11-11,Dec-17,47.6,22.0,31.3,2.2,1.5,0.0,0.0,0.0,0.0,0.0,31541,86509.0,44696.0,15,19.0,14.0,12,17
Deaths,2023-01-07,Dec-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33600,86240.0,44537.0,0,0.0,0.0,12,17
Deaths,2023-11-04,50-64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30620,125775.0,247617.0,0,0.0,0.0,50,64
Hospitalizations,2021-06-12,All,5.9,0.8,0.0,7.4,0.0,7.9,0.6,0.0,14.2,0.0,1257017,1201445.0,0.0,74,10.0,0.0,999,999
Cases,2023-10-07,18-29,41.7,11.7,16.7,3.6,2.5,0.0,0.0,0.0,0.0,0.0,71968,214276.0,161803.0,30,25.0,27.0,18,29
Deaths,2022-01-08,05-Nov,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132228,46476.0,0.0,0,0.0,0.0,5,11
Hospitalizations,2021-08-07,18-29,8.3,1.4,0.0,5.9,0.0,0.0,0.0,0.0,0.0,0.0,206013,282729.0,0.0,17,4.0,0.0,18,29
Cases,2022-04-09,05-Nov,79.6,233.1,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,103071,91818.0,0.0,82,214.0,0.0,5,11
Cases,2021-05-08,80+,107.5,13.6,0.0,7.9,0.0,0.0,0.0,0.0,0.0,0.0,36289,44240.0,0.0,39,6.0,0.0,80,200
Hospitalizations,2022-03-12,18-29,1.0,0.5,0.7,2.0,1.4,0.0,0.0,0.0,0.0,0.0,100487,221043.0,142046.0,1,1.0,1.0,18,29
Cases,2021-06-12,18-29,38.0,3.8,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,236542,236566.0,0.0,90,9.0,0.0,18,29
Hospitalizations,2021-05-01,50-64,61.8,2.4,0.0,25.8,0.0,0.0,0.0,0.0,0.0,0.0,155412,166702.0,0.0,96,4.0,0.0,50,64
Cases,2023-10-07,All,34.5,15.3,31.5,2.3,1.1,38.5,16.1,24.4,2.4,1.6,522040,860669.0,1041205.0,180,132.0,328.0,999,999
Deaths,2023-09-02,18-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73298,214129.0,161722.0,0,0.0,0.0,18,29
Hospitalizations,2022-11-12,18-29,13.3,1.9,0.6,7.0,22.2,0.0,0.0,0.0,0.0,0.0,82776,212328.0,161549.0,11,4.0,1.0,18,29
Cases,2021-07-10,All,24.4,8.8,0.0,2.8,0.0,25.3,7.0,0.0,3.6,0.0,1194853,1348222.0,0.0,292,118.0,0.0,999,999
Hospitalizations,2023-01-07,05-Nov,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92294,81623.0,21161.0,1,0.0,0.0,5,11
Cases,2022-03-05,30-49,61.2,22.0,52.2,2.8,1.2,0.0,0.0,0.0,0.0,0.0,135567,295387.0,314346.0,83,65.0,164.0,30,49
Deaths,2023-09-02,05-Nov,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89489,82669.0,21265.0,0,0.0,0.0,5,11
Deaths,2022-05-07,All,0.2,0.1,0.2,2.0,1.0,0.2,0.2,0.1,1.0,1.4,648754,888946.0,956808.0,1,1.0,2.0,999,999
Hospitalizations,2023-04-08,18-29,2.6,0.0,1.2,0.0,2.2,0.0,0.0,0.0,0.0,0.0,75926,213911.0,161680.0,2,0.0,2.0,18,29
Hospitalizations,2021-09-11,50-64,55.4,4.0,0.0,13.8,0.0,0.0,0.0,0.0,0.0,0.0,84837,325536.0,0.0,47,13.0,0.0,50,64
Deaths,2021-05-01,50-64,7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155412,166702.0,0.0,12,0.0,0.0,50,64
Deaths,2022-08-06,0-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162642,0.0,0.0,0,0.0,0.0,0,4
Cases,2021-09-04,30-49,268.1,93.4,0.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,237570,516114.0,0.0,637,482.0,0.0,30,49
Deaths,2023-09-02,50-64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32314,125722.0,246940.0,0,0.0,0.0,50,64
Cases,2022-10-01,80+,96.7,105.4,161.6,0.9,0.6,0.0,0.0,0.0,0.0,0.0,25857,11380.0,47042.0,25,12.0,76.0,80,200
Hospitalizations,2023-09-02,65-79,7.7,6.9,8.7,1.1,0.9,0.0,0.0,0.0,0.0,0.0,39162,43414.0,171755.0,3,3.0,15.0,65,79
Cases,2022-08-06,All,256.7,149.9,231.3,1.7,1.1,295.7,144.2,196.9,2.1,1.5,614334,850591.0,1014163.0,1577,1275.0,2346.0,999,999
Cases,2022-11-05,05-Nov,134.5,94.2,128.5,1.4,1.0,0.0,0.0,0.0,0.0,0.0,93672,80665.0,21005.0,126,76.0,27.0,5,11
Hospitalizations,2022-12-03,50-64,55.9,18.3,7.7,3.1,7.3,0.0,0.0,0.0,0.0,0.0,35761,125353.0,246742.0,20,23.0,19.0,50,64
Deaths,2021-04-10,50-64,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207234,80426.0,0.0,11,0.0,0.0,50,64
Cases,2022-03-12,All,47.4,22.7,40.7,2.1,1.2,52.2,22.0,35.9,2.4,1.5,664996,907380.0,911102.0,315,206.0,371.0,999,999
Deaths,2022-09-10,30-49,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124669,276027.0,346520.0,0,1.0,0.0,30,49
Deaths,2022-06-11,30-49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128697,282377.0,337248.0,0,0.0,0.0,30,49
Hospitalizations,2023-05-06,Dec-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32685,86582.0,44575.0,0,0.0,0.0,12,17
Cases,2021-05-01,0-4,58.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162642,0.0,0.0,95,0.0,0.0,0,4
Cases,2023-03-11,Dec-17,117.8,62.5,49.4,1.9,2.4,0.0,0.0,0.0,0.0,0.0,33097,86429.0,44562.0,39,54.0,22.0,12,17
Cases,2022-12-10,Dec-17,221.3,104.5,134.8,2.1,1.6,0.0,0.0,0.0,0.0,0.0,33887,86131.0,44514.0,75,90.0,60.0,12,17
Deaths,2022-02-05,65-79,24.1,30.1,7.4,0.8,3.3,0.0,0.0,0.0,0.0,0.0,49755,59749.0,148949.0,12,18.0,11.0,65,79
Cases,2021-04-03,0-4,73.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162642,0.0,0.0,120,0.0,0.0,0,4
Cases,2022-06-04,05-Nov,250.9,390.3,335.2,0.6,0.7,0.0,0.0,0.0,0.0,0.0,100456,94553.0,895.0,252,369.0,3.0,5,11
Deaths,2022-07-02,0-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162642,0.0,0.0,0,0.0,0.0,0,4
Hospitalizations,2021-08-07,50-64,34.1,2.2,0.0,15.5,0.0,0.0,0.0,0.0,0.0,0.0,96770,316026.0,0.0,33,7.0,0.0,50,64
Hospitalizations,2022-02-05,30-49,12.7,5.2,2.8,2.4,4.5,0.0,0.0,0.0,0.0,0.0,142252,308500.0,286318.0,18,16.0,8.0,30,49
Deaths,2022-03-12,All,1.2,0.7,0.2,1.7,6.0,1.3,1.1,0.1,1.2,11.3,664996,907380.0,911102.0,8,6.0,2.0,999,999
Deaths,2023-09-09,80+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24452,11380.0,47133.0,0,0.0,0.0,80,200
Hospitalizations,2023-06-10,All,2.2,0.6,2.7,3.7,0.8,3.3,0.7,2.0,5.0,1.7,534086,860351.0,1040691.0,12,5.0,28.0,999,999
Hospitalizations,2023-06-10,65-79,7.6,2.3,8.7,3.3,0.9,0.0,0.0,0.0,0.0,0.0,39441,43434.0,171732.0,3,1.0,15.0,65,79
Hospitalizations,2021-11-06,80+,54.1,22.8,18.0,2.4,3.0,0.0,0.0,0.0,0.0,0.0,29553,43800.0,11093.0,16,10.0,2.0,80,200
Cases,2023-03-11,All,101.2,60.1,80.2,1.7,1.3,120.6,62.1,80.3,1.9,1.5,543537,858035.0,1040472.0,550,516.0,834.0,999,999
Hospitalizations,2023-04-08,50-64,12.0,2.4,2.4,5.0,5.0,0.0,0.0,0.0,0.0,0.0,33404,125694.0,246895.0,4,3.0,6.0,50,64
Hospitalizations,2021-05-08,All,19.6,2.6,0.0,7.5,0.0,26.2,1.6,0.0,16.9,0.0,1432023,822199.0,0.0,280,21.0,0.0,999,999
Cases,2022-04-09,18-29,178.2,72.9,191.3,2.4,0.9,0.0,0.0,0.0,0.0,0.0,98229,219416.0,147442.0,175,160.0,282.0,18,29
Deaths,2021-11-06,Dec-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63281,101846.0,0.0,0,0.0,0.0,12,17
Cases,2022-09-03,All,206.3,122.0,156.9,1.7,1.3,236.5,119.9,150.3,2.0,1.6,604544,842367.0,1030965.0,1247,1028.0,1618.0,999,999
Cases,2023-03-04,80+,109.4,140.6,152.8,0.8,0.7,0.0,0.0,0.0,0.0,0.0,24686,11377.0,47125.0,27,16.0,72.0,80,200
Cases,2023-07-08,50-64,21.4,8.0,10.1,2.7,2.1,0.0,0.0,0.0,0.0,0.0,32640,125730.0,246931.0,7,10.0,25.0,50,64
Hospitalizations,2021-04-03,18-29,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,385176,47882.0,0.0,27,0.0,0.0,18,29
Cases,2021-09-11,65-79,133.2,48.4,0.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,64570,194208.0,0.0,86,94.0,0.0,65,79
Cases,2023-05-06,05-Nov,38.5,37.5,89.5,1.0,0.4,0.0,0.0,0.0,0.0,0.0,90817,82677.0,21239.0,35,31.0,19.0,5,11
Hospitalizations,2021-12-11,80+,94.9,86.3,17.9,1.1,5.3,0.0,0.0,0.0,0.0,0.0,28442,27803.0,28010.0,27,24.0,5.0,80,200
Cases,2022-06-11,All,264.7,176.5,269.3,1.5,1.0,303.0,167.2,241.1,1.8,1.3,640279,874417.0,979825.0,1695,1543.0,2639.0,999,999
Deaths,2023-01-07,0-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162642,0.0,0.0,0,0.0,0.0,0,4
Hospitalizations,2022-04-02,50-64,4.4,2.9,1.3,1.5,3.4,0.0,0.0,0.0,0.0,0.0,45178,138856.0,227154.0,2,4.0,3.0,50,64
Cases,2021-07-10,50-64,20.5,6.6,0.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,107073,304806.0,0.0,22,20.0,0.0,50,64
Cases,2022-06-04,50-64,442.0,152.6,274.0,2.9,1.6,0.0,0.0,0.0,0.0,0.0,42758,131758.0,237215.0,189,201.0,650.0,50,64
Deaths,2022-03-05,65-79,4.1,5.6,0.6,0.7,6.8,0.0,0.0,0.0,0.0,0.0,48917,54022.0,156028.0,2,3.0,1.0,65,79
Deaths,2022-06-04,05-Nov,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100456,94553.0,895.0,0,0.0,0.0,5,11
Hospitalizations,2023-04-08,80+,12.2,8.8,31.8,1.4,0.4,0.0,0.0,0.0,0.0,0.0,24622,11383.0,47126.0,3,1.0,15.0,80,200
Cases,2023-08-05,80+,20.4,70.3,44.6,0.3,0.5,0.0,0.0,0.0,0.0,0.0,24475,11382.0,47131.0,5,8.0,21.0,80,200
Deaths,2023-06-03,50-64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32855,125745.0,246913.0,0,0.0,0.0,50,64
Deaths,2022-01-01,65-79,61.2,13.9,2.3,4.4,26.6,0.0,0.0,0.0,0.0,0.0,52264,79022.0,127818.0,32,11.0,3.0,65,79
Hospitalizations,2022-10-08,05-Nov,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94508,81111.0,19812.0,2,0.0,0.0,5,11
Cases,2023-08-05,18-29,36.6,9.3,17.9,3.9,2.0,0.0,0.0,0.0,0.0,0.0,73686,214134.0,161713.0,27,20.0,29.0,18,29
Cases,2023-02-11,30-49,129.4,56.5,85.5,2.3,1.5,0.0,0.0,0.0,0.0,0.0,111258,277686.0,347246.0,144,157.0,297.0,30,49
Hospitalizations,2023-08-12,50-64,12.3,3.2,2.8,3.8,4.4,0.0,0.0,0.0,0.0,0.0,32441,125727.0,246935.0,4,4.0,7.0,50,64
Deaths,2021-12-11,All,5.8,1.0,1.3,5.8,4.5,8.5,1.1,0.6,7.4,15.0,847199,1247588.0,380994.0,49,13.0,5.0,999,999
Hospitalizations,2021-04-03,50-64,39.7,3.0,0.0,13.2,0.0,0.0,0.0,0.0,0.0,0.0,234356,66383.0,0.0,93,2.0,0.0,50,64
Cases,2022-10-08,80+,85.5,131.8,176.4,0.6,0.5,0.0,0.0,0.0,0.0,0.0,25733,11377.0,47048.0,22,15.0,83.0,80,200
Hospitalizations,2023-06-03,0-4,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162642,0.0,0.0,2,0.0,0.0,0,4
Cases,2023-01-07,0-4,63.9,3.1,0.0,20.6,0.0,0.0,0.0,0.0,0.0,0.0,162642,0.0,0.0,104,5.0,0.0,0,4
Deaths,2022-03-12,65-79,6.1,0.0,0.6,0.0,10.2,0.0,0.0,0.0,0.0,0.0,48822,53213.0,157042.0,3,0.0,1.0,65,79
Hospitalizations,2023-08-12,65-79,7.6,9.2,7.0,0.8,1.1,0.0,0.0,0.0,0.0,0.0,39237,43418.0,171751.0,3,4.0,12.0,65,79
Cases,2022-02-12,80+,91.6,122.6,94.4,0.7,1.0,0.0,0.0,0.0,0.0,0.0,27303,15497.0,41310.0,25,19.0,39.0,80,200
Hospitalizations,2021-10-02,50-64,39.2,4.8,0.0,8.2,0.0,0.0,0.0,0.0,0.0,0.0,79080,330032.0,0.0,31,16.0,0.0,50,64
Cases,2023-04-08,18-29,75.1,18.7,37.1,4.0,2.0,0.0,0.0,0.0,0.0,0.0,75926,213911.0,161680.0,57,40.0,60.0,18,29
Cases,2021-12-11,0-4,200.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162642,0.0,0.0,326,0.0,0.0,0,4
Deaths,2022-02-12,05-Nov,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109671,68864.0,0.0,0,0.0,0.0,5,11
Cases,2023-04-01,0-4,43.0,3.1,0.0,13.9,0.0,0.0,0.0,0.0,0.0,0.0,162642,0.0,0.0,70,5.0,0.0,0,4
Hospitalizations,2023-02-04,0-4,1.8,0.6,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,162642,0.0,0.0,3,1.0,0.0,0,4
Deaths,2022-11-05,All,0.7,0.2,0.3,3.5,2.3,0.8,0.4,0.2,1.9,4.4,573510,847144.0,1039435.0,4,2.0,3.0,999,999
Cases,2023-09-09,65-79,92.0,39.2,74.5,2.3,1.2,0.0,0.0,0.0,0.0,0.0,39140,43415.0,171755.0,36,17.0,128.0,65,79
Hospitalizations,2021-06-05,All,7.3,0.7,0.0,10.4,0.0,9.8,0.5,0.0,20.4,0.0,1279034,1158544.0,0.0,94,8.0,0.0,999,999
Deaths,2021-09-11,80+,16.0,5.7,0.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,31257,53008.0,0.0,5,3.0,0.0,80,200
Deaths,2021-08-07,30-49,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,260144,501004.0,0.0,4,0.0,0.0,30,49
Cases,2023-08-05,05-Nov,8.9,2.4,4.7,3.7,1.9,0.0,0.0,0.0,0.0,0.0,89877,82672.0,21260.0,8,2.0,1.0,5,11
Deaths,2021-06-12,Dec-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118282,13905.0,0.0,0,0.0,0.0,12,17
Hospitalizations,2021-12-04,Dec-17,5.1,0.9,0.0,5.7,0.0,0.0,0.0,0.0,0.0,0.0,58493,105452.0,0.0,3,1.0,0.0,12,17
Deaths,2023-04-01,80+,4.1,0.0,2.1,0.0,2.0,0.0,0.0,0.0,0.0,0.0,24634,11382.0,47126.0,1,0.0,1.0,80,200
Hospitalizations,2022-01-08,18-29,72.3,16.4,7.2,4.4,10.0,0.0,0.0,0.0,0.0,0.0,128651,256042.0,83774.0,93,42.0,6.0,18,29
Hospitalizations,2023-04-01,50-64,17.9,3.2,4.5,5.6,4.0,0.0,0.0,0.0,0.0,0.0,33477,125679.0,246893.0,6,4.0,11.0,50,64
Deaths,2021-05-01,65-79,9.2,0.7,0.0,13.1,0.0,0.0,0.0,0.0,0.0,0.0,86807,152729.0,0.0,8,1.0,0.0,65,79
Cases,2023-05-06,65-79,30.3,25.3,32.6,1.2,0.9,0.0,0.0,0.0,0.0,0.0,39631,43437.0,171727.0,12,11.0,56.0,65,79
Deaths,2021-04-03,80+,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42122,26360.0,0.0,8,0.0,0.0,80,200
Hospitalizations,2022-04-02,80+,7.4,0.0,6.9,0.0,1.1,0.0,0.0,0.0,0.0,0.0,27040,13879.0,43312.0,2,0.0,3.0,80,200
Cases,2022-12-03,05-Nov,174.3,120.8,165.7,1.4,1.1,0.0,0.0,0.0,0.0,0.0,92929,81116.0,21117.0,162,98.0,35.0,5,11
Deaths,2023-04-01,50-64,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33477,125679.0,246893.0,0,0.0,1.0,50,64
Deaths,2022-03-12,30-49,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134617,294114.0,317904.0,1,0.0,0.0,30,49
Hospitalizations,2022-02-12,30-49,12.9,5.3,3.4,2.4,3.8,0.0,0.0,0.0,0.0,0.0,139578,302103.0,296569.0,18,16.0,10.0,30,49
Hospitalizations,2022-04-09,80+,7.4,21.8,9.2,0.3,0.8,0.0,0.0,0.0,0.0,0.0,26990,13754.0,43462.0,2,3.0,4.0,80,200
Cases,2023-07-08,18-29,20.2,7.9,4.3,2.6,4.7,0.0,0.0,0.0,0.0,0.0,74160,214139.0,161703.0,15,17.0,7.0,18,29
Cases,2022-03-12,50-64,67.3,22.5,31.0,3.0,2.2,0.0,0.0,0.0,0.0,0.0,46039,142268.0,222350.0,31,32.0,69.0,50,64
Cases,2022-08-06,65-79,283.5,203.7,231.7,1.4,1.2,0.0,0.0,0.0,0.0,0.0,45860,44684.0,169587.0,130,91.0,393.0,65,79
Cases,2021-10-02,05-Nov,131.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210448,0.0,0.0,277,0.0,0.0,5,11
Cases,2023-02-04,05-Nov,168.8,185.5,212.3,0.9,0.8,0.0,0.0,0.0,0.0,0.0,91824,81940.0,21192.0,155,152.0,45.0,5,11
Deaths,2021-04-03,18-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,385176,47882.0,0.0,0,0.0,0.0,18,29
Hospitalizations,2022-08-06,0-4,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162642,0.0,0.0,10,0.0,0.0,0,4
Deaths,2023-06-10,0-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162642,0.0,0.0,0,0.0,0.0,0,4
Cases,2022-12-10,All,223.1,128.3,171.7,1.7,1.3,267.5,133.5,154.6,2.0,1.7,560620,851689.0,1039873.0,1251,1093.0,1785.0,999,999
Hospitalizations,2023-03-11,18-29,5.2,0.5,1.2,10.4,4.3,0.0,0.0,0.0,0.0,0.0,76587,213618.0,161667.0,4,1.0,2.0,18,29
Hospitalizations,2022-12-03,05-Nov,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92929,81116.0,21117.0,3,0.0,0.0,5,11
Deaths,2021-05-08,All,3.1,0.2,0.0,15.5,0.0,4.4,0.1,0.0,33.2,0.0,1432023,822199.0,0.0,45,2.0,0.0,999,999
Hospitalizations,2023-02-04,05-Nov,3.3,2.4,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,91824,81940.0,21192.0,3,2.0,0.0,5,11
Hospitalizations,2021-08-07,30-49,14.6,0.8,0.0,18.2,0.0,0.0,0.0,0.0,0.0,0.0,260144,501004.0,0.0,38,4.0,0.0,30,49
Deaths,2022-03-12,18-29,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100487,221043.0,142046.0,1,0.0,0.0,18,29
Deaths,2022-06-11,80+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26548,12467.0,45506.0,0,0.0,0.0,80,200
Hospitalizations,2022-11-12,50-64,38.3,5.6,8.9,6.8,4.3,0.0,0.0,0.0,0.0,0.0,36564,125287.0,246697.0,14,7.0,22.0,50,64
Cases,2023-11-11,All,65.9,30.8,47.4,2.1,1.4,80.4,33.7,39.6,2.4,2.0,509670,862682.0,1045972.0,336,266.0,496.0,999,999
Deaths,2021-05-08,65-79,15.4,0.6,0.0,25.7,0.0,0.0,0.0,0.0,0.0,0.0,84155,160587.0,0.0,13,1.0,0.0,65,79
